and;a
abacus;abakus
abacus;abakusa
abacus;abakusem
abacuses;abakusy
shade;aba¿ur
Shade;aba¿ura
lampshades;aba¿urach
shades;aba¿urami
lampshade;aba¿urem
lampshades;aba¿urów
lampshade;aba¿uru
lampshades;aba¿ury
lampshade;aba¿urze
Abkhazian;abchascy
Abkhazian;abchaska
Abkhazian;abchask¹
Abkhazian;abchaski
Abkhazian;abchaskich
Abkhazian;abchaskie
Abkhazian;abchaskiego
Abkhazian;abchaskiej
Abkhazian;abchaskim
Abkhazian;abchaskimi
Abkhazia;abchazja
Abkhazia;abchazj¹
Abkhazia;abchazjê
abkhazia;abchazji
abdication;abdykacja
abdication;abdykacj¹
abdication;abdykacje
abdication;abdykacjê
abdication;abdykacji
abdicate;abdykowaæ
abdicated;abdykowali
abdication;abdykowaliby
We are giving up;abdykowaliœmy
abdicated;abdykowa³
abdicated;abdykowa³a
abdicated;abdykowa³am
abdicated;abdykowa³em
abdication;abdykowanie
abdication;abdykowano
abdication;abdykowawszy
abdicate;abdykuj
give up;abdykuj¹
giving up;abdykuj¹c
giving up;abdykuj¹ca
giving up;abdykuj¹c¹
giving up;abdykuj¹ce
giving up;abdykuj¹cej
giving up;abdykuj¹cy
abdicating;abdykuj¹cych
gives up;abdykuje
gives up;abdykujecie
We give up;abdykujemy
You give up;abdykujesz
I give up;abdykujê
Alphabet;abecade³
the alphabet;abecadle
alphabet;abecad³a
Alphabet;abecad³em
alphabet;abecad³o
aberration;aberracja
aberrations;aberracjach
aberrations;aberracjami
aberration;aberracj¹
aberrations;aberracje
aberration;aberracjê
aberrations;aberracji
aberrations;aberracjom
subscription;abonamencie
subscription;abonament
subscriptions;abonamentach
subscriptions;abonamentami
subscription;abonamentem
subscriptions;abonamentom
subscription;abonamentowi
subscriptions;abonamentów
subscription;abonamentu
subscriptions;abonamenty
subscribers;abonenci
subscriber;abonencie
subscriber;abonent
subscriber;abonenta
subscribers;abonentach
subscribers;abonentami
subscriber;abonentem
subscribers;abonentom
subscriber;abonentowi
subscribers;abonentów
abortion;aborcja
abortions;aborcjach
abortions;aborcjami
abortion;aborcj¹
abortions;aborcje
abortion;aborcjê
abortion;aborcji
abortions;aborcjom
Abraham;abrahama
Abraham;abrahamem
Abraham;abrahamie
Abraham;abrahamowi
Abraham;abrahamowie
Abraham;abrahamów
ABRAHAM;abrahamy
absolute;absolutna
absolute;absolutn¹
absolute;absolutne
absolute;absolutnego
absolute;absolutnej
absolute;absolutnemu
the absolute;absolutni
absolutely;absolutnie
absolute;absolutny
absolute;absolutnych
absolute;absolutnym
absolute;absolutnymi
graduates;absolwenci
graduate;absolwencie
graduate;absolwent
graduate;absolwenta
graduates;absolwentach
graduates;absolwentami
graduate;absolwentem
graduates;absolwentom
graduate;absolwentowi
graduates;absolwentów
absorb;absorbowaæ
They were absorbing;absorbowali
absorption;absorbowaliby
He absorbed;absorbowa³
He absorbed;absorbowa³a
I absorbed;absorbowa³am
I absorbed;absorbowa³em
absorbed;absorbowa³o
