aardvark;mrówkojad
aardwolf;wilk ziemny
aaron;aaron
aback;wstecz
abacus;liczydło
abaft;na rufie
abalone;uchowiec
abandon;porzucić
abandoned;opuszczony
abandonment;porzucenie
abandons;porzuca
abase;poniżać
abased;poniżony
abasement;poniżenie
abash;mieszać
abashed;speszony
abate;zmniejszać
abated;zmniejszyło
abatement;obniżka
abates;ustępuje
abattoir;rzeźnia
abattoirs;rzeźnie
abbe;abbe
abbess;ksieni
abbey;opactwo
abbeys;opactw
abbot;opat
abbots;opaci
abbreviate;skracać
abbreviated;w skrócie
abbreviates;skraca
abbreviating;abbreviating
abbreviation;skrót
abbreviations;skróty
abdicate;abdykować
abdicated;abdykował
abdicates;abdykuje
abdicating;abdicating
abdication;abdykacja
abdomen;brzuch
abdomens;brzuchy
abdominal;brzuszny
abduct;uprowadzać
abducted;abducted
abducting;uprowadzenie
abduction;uprowadzenie
abductions;porwania
abductor;porywacz
abductors;porywacze
abducts;uprowadza
abe;abe
abeam;na trawersie
abel;abel
abele;abele
aberdeen;aberdeen
aberrant;anormalny
aberration;aberracja
aberrations;aberracje
abet;pomagać w przestępstwie
abets;namawia
abetted;abetted
abetting;pomocnictwo
abeyance;stan zawieszenia
abhor;czuć wstręt
abhorred;ohydny
abhorrence;wstręt
abhorrent;odrażający
abhors;brzydzi
abide;przestrzegać
abided;przestrzegały
abides;trwa
abiding;trwały
abidjan;abidżan
abies;picea
abilities;zdolności
ability;umiejętność
abject;nikczemny
abjectly;nikczemnie
abjure;odprzysięgać
abjured;abjured
ablate;ablacji
ablates;ablację
ablating;ablacji
ablation;ablacja
ablative;narzędnik
ablaze;w ogniu
able;zdolny
ablebodied;ablebodied
abler;abler
ablest;najzdolniejszym
abloom;w kwiatach
ablution;ablucja
ablutions;ablucji
ably;sprawnie
abnegation;abnegacja
abnormal;nieprawidłowy
abnormalities;nieprawidłowości
abnormality;nieprawidłowość
abnormally;nieprawidłowo
aboard;na
abode;siedziba
abodes;abodes
abolish;znieść
abolished;zniesione
abolishes;znosi
abolishing;zniesienie
abolition;zniesienie
abolitionist;abolicjonistyczne
abolitionists;abolicjonistów
abomb;abomb
